word,type,example,also
oder,nebenordnend,Ich möchte zum Chinesen gehen oder wir gehen ins Kino.,
ohne,unterordnend,"Sie stimmte ihm zu, ohne zögern.",Präposition
plus,nebenordnend,Sieben plus sieben ist vierzehn.,"Adverb,"
respektive,nebenordnend,Wir suchen eine Bewerberin respektive einen Bewerber mit guten Rechtschreibkenntnissen.,
schließlich,Konjunktionaladverbien,"Heike ist in Ordnung, schließlich hat sie mir immer geholfen.",Adverb
seit,unterordnend,"Es ist schon über eine Stunde vergangen, seit sie in den Wald gegangen ist.",Präposition
seitdem,unterordnend,"Mathilda hat sich total verändert, seitdem sie sich verliebt hat.",Adverb
sintemal,unterordnend,"Ich habe kein Portemonnaie dabei, sintemal ich eigentlich nur spazieren gehen wollte.",
so,unterordnend,"Wir sehen uns wieder, so Gott will.","Adverb,"
sobald,unterordnend,"Ich rufe dich an, sobald ich zu Hause bin.",
sodass,unterordnend,"Frank war krank, sodass er absagen musste.",
sofern,unterordnend,"Ich fliege im April nach Rom, sofern mein Chef den Urlaub genehmigt.",
solange,unterordnend,"Du wirst keine Beförderung bekommen, solange du faul bist.",Adverb
sondern,nebenordnend,"Wir fahren nicht nach Italien, sondern nach Griechenland.",
sonst,Konjunktionaladverbien,"Das ist eine Ausnahme, sonst schlafe ich nicht bis 11 Uhr morgens.",Adverb
sooft,unterordnend,"Hans bringt mir Eier, sooft ich es möchte.",
sosehr,unterordnend,"Ich muss den Termin absagen, sosehr ich es bedaure.",
soviel,unterordnend,"Becki hat Urlaub, soviel ich weiß.",
soweit,unterordnend,"Peter ist der Chef, soweit ich das beurteilen kann.",
sowenig,unterordnend,"Wir stehen jeden Tag gegen 4 Uhr auf, sowenig ich mich daran gewöhnen kann.",
sowie,nebenordnend,Sie sowie ihr Mann waren schon da.,
später,Konjunktionaladverbien,"Bring mir das Zeug mittags vorbei, später würde es mir nicht passen.","Adjektiv,"
statt,unterordnend,"Jonas faulenzte, statt zu arbeiten.",
trotzdem,unterordnend,"Lucia kam zum Meeting, trotzdem sie krank war.",Adverb
um,unterordnend,"Ich kenne nur einen Weg, um das Problem um lösen.","Adverb,"
umso,unterordnend,"Je früher die Arbeit fertig ist, umso besser.",
und,nebenordnend,Ich liebe dich und ich möchte dich heiraten.,
ungeachtet,#f6f6f6,"Wir haben das Projekt einfach umgesetzt, ungeachtet der widersprüchlichen Fakten.",
dessen ungeachtet,#f6f6f6,"Er pflegte sein Kind, dessen ungeachtet er selbst schwer krank war.","meist in der Kombination mit …, dass"
vorher,Konjunktionaladverbien,"Ich habe das Haus grün gestrichen, vorher hat es mir einfach nicht gefallen.",Adverb
während,unterordnend,"Einbrecher räumten das Haus aus, während die Familie im Urlaub war.",Präposition
währenddem,unterordnend,"Nach dem Rasenmähen gab es eine Erfrischung, währenddem es weder Essen noch Trinken gab.",Adverb
währenddessen,unterordnend,"Kirsten kochte das Mittagessen, währenddessen sie mit ihrer Freundin telefonierte.",Adverb
wann,unterordnend,"Fiona weiß nicht, wann sie Zeit hat.",
weil,unterordnend,"Ich fahre nach Italien, weil ich das Essen liebe.",
wenn,unterordnend,"Alle wollen aus dem Verein austreten, wenn die Anschuldigungen gegenüber dem Vorsitzenden wirklich wahr sind.",
wenngleich,unterordnend,"Silke gab sich große Mühe, wenngleich ihr das Projekt wenig Freude machte.",
wennschon,unterordnend,"Er sitzt jeden Abend auf ihrer Lieblingsbank, wennschon seine Frau vor Jahren verstorben ist.",
wie,nebenordnend,"Sie macht ihre Arbeit, wie ich es erwartet habe.",Adverb
wieweit,unterordnend,"Ich bin im Zweifel, wieweit ich mich darauf verlassen kann",
wiewohl,unterordnend,"Martins Aussage ist einleuchtend, wiewohl die Argumente nicht ganz nachvollziehbar waren.",
wo,unterordnend,"Warum wollt ihr immer reisen, wo ihr es doch zu Hause so schön habt?",Adverb
wobei,Konjunktionaladverbien,"Ich komme mit, wobei ich keine Lust darauf habe.",
wofern,unterordnend,"Du darfst deine Figur setzen, wofern du eine sechs gewürfelt hast.",
wohingegen,unterordnend,"Finn hat schwarzes Haar, wohingegen seine Geschwister alle blonde Haare haben.",
woraufhin,#f6f6f6,"Die Firma legte alle Referenzen vor, woraufhin sie den Auftrag sofort bekam.",
zu + Infinitv,nebenordnend,"Rick bat ihn﻿﻿,﻿ zu + Infinitv helfen",
zudem,Konjunktionaladverbien,"Helge war seine Bekanntheit als Lügenbaron peinlich, zudem erwies sich sein Ruf bei Bewerbungen als hinderlich.",Adverb
zumal,unterordnend,"Sie geht nicht in den Pool, zumal sie nicht schwimmen kann.",Adverb
zuvor,Konjunktionaladverbien,"Johnny küsste sie, zuvor hielt er allerdings kurz inne.",Adverb
einerseits – andererseits,#f6f6f6," hat das Projekt nicht geklappt, einerseits – andererseits habe ich jede Menge gelernt.",
entweder – oder,#f6f6f6, wir fahren ins Schwimmbad entweder – oder wir gehen ins Kino.,
je – desto,#f6f6f6," mehr wir uns streiten, je – desto sympathischer finde ich dich.",
nicht nur – sondern auch,#f6f6f6,"Ich kann nicht nur – sondern auch jonglieren, nicht nur – sondern auch balancieren.",
sowohl – als auch,#f6f6f6,Ich mag sowohl – als auch Äpfel sowohl – als auch Birnen.,
weder – noch,#f6f6f6, will ich schlafen weder – noch bin ich müde.,
zwar – aber,#f6f6f6,"Cornelia isst zwar – aber gern Salat, zwar – aber sie mag keine Tomaten.",
